Rank,First,Last,Team,G,Rec,Tgt,Yds,YG,Avg,Lng,YAC,1stD,TD,Rush,Yds,YG,TD,Fum,FumL,RetTD
27,Mike,Wallace,MIA,16,73,141,930,58.1,12.7,57,3.9,46,5,0,0,0,0,0,0,0
28,Nate,Washington,TEN,16,58,105,919,57.4,15.8,77,4.2,43,3,0,0,0,0,0,0,0
29,Golden,Tate,SEA,16,64,98,898,56.1,14,80,8,41,5,0,0,0,0,1,0,0
30,Hakeem,Nicks,IND,15,56,101,896,59.7,16,57,5.1,38,0,0,0,0,0,0,0,0
31,Rod,Streater,OAK,16,60,99,888,55.5,14.8,66,5.5,39,4,0,0,0,0,1,1,0
32,Riley,Cooper,PHI,16,47,83,835,52.2,17.8,63,5.4,33,8,0,0,0,0,0,0,0
33,James,Jones,OAK,14,59,93,817,58.4,13.8,83,6.4,30,3,0,0,0,0,2,1,0
34,Greg,Jennings,MIN,15,68,106,804,53.6,11.8,70,5.3,36,4,0,0,0,0,0,0,0
35,DeAndre,Hopkins,HOU,16,52,91,802,50.1,15.4,66,3.6,38,2,0,0,0,0,1,1,0
36,Doug,Baldwin,SEA,16,50,73,778,48.6,15.6,52,4.9,36,5,0,0,0,0,0,0,0
37,Wes,Welker,DEN,13,73,111,778,59.8,10.7,33,4.7,49,10,0,0,0,0,0,0,0
38,Cecil,Shorts III,JAC,13,66,123,777,59.8,11.8,59,4.5,41,0,0,0,0,0,0,0,0
39,Steve,Smith,BAL,15,64,110,745,49.7,11.6,44,3.2,44,0,0,0,0,0,0,0,0
40,Emmanuel,Sanders,PIT,16,67,112,740,46.3,11,55,4.6,37,6,0,0,0,0,1,0,0
41,Terrance,Williams,DAL,16,44,74,736,46,16.7,82,5,31,5,0,0,0,0,1,1,0
42,Jerome,Simpson,MIN,16,48,100,726,45.4,15.1,51,4,35,1,0,0,0,0,1,0,0
43,Marvin,Jones,CIN,16,51,80,712,44.5,14,45,4.5,36,10,0,0,0,0,0,0,0
44,Roddy,White,ATL,13,63,97,711,54.7,11.3,39,2.1,37,3,0,0,0,0,2,1,0
45,Denarius,Moore,OAK,13,46,86,695,53.5,15.1,73,5.8,36,5,0,0,0,0,0,0,0
46,Jarrett,Boykin,GNB,16,49,83,681,42.6,13.9,52,5.3,34,3,0,0,0,0,0,0,0
47,Dwayne,Bowe,KAN,15,57,103,673,44.9,11.8,34,3.5,39,5,0,0,0,0,0,0,0
48,Kenny,Stills,NOR,16,32,50,641,40.1,20,76,6.1,24,5,0,0,0,0,0,0,0
49,Danny,Amendola,NWE,12,54,83,633,52.8,11.7,57,5.4,37,2,0,0,0,0,0,0,0
50,Eddie,Royal,SDG,15,47,67,631,42.1,13.4,54,7.7,33,8,0,0,0,0,0,0,0
51,Brandon,LaFell,NWE,16,49,85,627,39.2,12.8,79,5.7,31,5,0,0,0,0,1,0,0
52,Rueben,Randle,NYG,16,41,78,611,38.2,14.9,37,5.2,28,6,0,0,0,0,1,0,0
53,Jerricho,Cotchery,PIT,16,46,76,602,37.6,13.1,36,5,36,10,0,0,0,0,0,0,0
54,Stevie,Johnson,SFO,12,52,101,597,49.8,11.5,45,4.4,33,3,0,0,0,0,1,1,0
55,Donnie,Avery,KAN,16,40,71,596,37.3,14.9,51,5,25,2,0,0,0,0,1,1,0
56,Robert,Woods,BUF,14,40,85,587,41.9,14.7,57,3,26,3,0,0,0,0,0,0,0
57,Julio,Jones,ATL,5,41,60,580,116,14.1,81,6.5,25,2,0,0,0,0,2,1,0
58,Chris,Givens,STL,16,34,83,569,35.6,16.7,47,7.8,27,0,0,0,0,0,1,1,0
59,Ted,Ginn,CAR,16,36,68,556,34.8,15.4,47,6.3,24,38,0,0,0,0,0,0,0
60,Marlon,Brown,BAL,14,49,83,524,37.4,10.7,59,5,29,7,0,0,0,0,0,0,0
61,Jeremy,Kerley,NYJ,12,43,72,523,43.6,12.2,26,4.2,30,3,0,0,0,0,0,0,0
62,Aaron,Dobson,NWE,12,37,72,519,43.3,14,81,5.6,25,4,0,0,0,0,1,0,0
63,Reggie,Wayne,IND,7,38,58,503,71.9,13.2,35,4.6,28,2,0,0,0,0,0,0,0
64,Kris,Durham,DET,16,38,85,490,30.6,12.9,40,3.6,25,2,0,0,0,0,1,1,0
65,Ace,Sanders,JAC,15,51,87,484,32.3,9.5,51,5.9,22,1,0,0,0,0,0,0,0
66,Sammy,Watkins,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Mike,Evans,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Vincent,Brown,SDG,16,41,69,472,29.5,11.5,51,2.3,28,1,0,0,0,0,0,0,0
69,Andre,Roberts,WAS,16,43,76,471,29.4,11,34,2.8,22,2,0,0,0,0,0,0,0
70,Cordarrelle,Patterson,MIN,16,45,77,469,29.3,10.4,79,6.5,19,4,0,0,0,3,0,0,0
71,Kenbrell,Thompkins,NWE,12,32,70,466,38.8,14.6,49,4.5,21,4,0,0,0,0,0,0,0
72,Greg,Little,CLE,16,41,99,465,29.1,11.3,47,4.7,22,2,0,0,0,0,0,0,0
73,Nate,Burleson,CLE,9,39,55,461,51.2,11.8,47,5.7,23,1,0,0,0,0,1,0,0
74,Lance,Moore,NOR,13,37,54,457,35.2,12.4,44,1.7,26,2,0,0,0,0,0,0,0
75,Santonio,Holmes,NYJ,11,23,59,456,41.5,19.8,69,5.6,19,1,0,0,0,0,0,0,0
76,Jacoby,Jones,BAL,12,37,67,455,37.9,12.3,66,3.2,20,2,0,0,0,0,0,0,0
77,Mohamed,Sanu,CIN,16,47,77,455,28.4,9.7,32,5.6,28,2,0,0,0,0,1,1,0
78,Santana,Moss,WAS,16,42,79,452,28.3,10.8,28,4.4,28,2,0,0,0,0,1,1,0
